id_camp,id_ticket,Weekday,Upc,ScanCount,DepartmentDescription,FinelineNumber,TripType
323822,30825,Tuesday,6843791126,1,IMPULSE MERCHANDISE,125,
323823,46203,Friday,8087817608,1,PERSONAL CARE,5027,
323824,59805,Sunday,1700009153,1,PERSONAL CARE,3183,
323825,64720,Monday,3700091870,1,PERSONAL CARE,203,
323826,72151,Tuesday,63084090323,1,PERSONAL CARE,3140,
323827,84759,Thursday,7050105524,1,BEAUTY,4506,
323828,115403,Tuesday,7050105375,1,BEAUTY,4620,
323829,129641,Thursday,2840043143,1,IMPULSE MERCHANDISE,808,
323830,135050,Friday,7459053305,1,PERSONAL CARE,7020,
323831,143121,Saturday,4900000764,1,DSD GROCERY,9546,
323832,150198,Monday,3783608460,1,PERSONAL CARE,8101,
323833,152734,Monday,30041010039,1,PERSONAL CARE,603,
323834,153079,Monday,88616688536,1,INFANT APPAREL,6405,
323835,184178,Saturday,7940049581,1,PERSONAL CARE,5008,
323836,189646,Sunday,1111140472,1,PERSONAL CARE,3181,
323837,191304,Sunday,7459053895,1,PERSONAL CARE,7018,
323838,13901,Sunday,4138309072,1,DAIRY,1505,
323839,15424,Sunday,3338360101,1,PRODUCE,4034,
323840,21016,Monday,4430,1,PRODUCE,6201,
323841,29862,Tuesday,7100754116,1,SERVICE DELI,4005,
323842,49571,Saturday,4959,1,PRODUCE,5701,
323843,54811,Saturday,4051,1,PRODUCE,5701,
323844,60923,Sunday,4418,2,PRODUCE,1901,
323845,67269,Monday,1254661267,1,IMPULSE MERCHANDISE,135,
323846,76956,Wednesday,7143000752,1,PRODUCE,3601,
323847,94895,Saturday,2265570177,1,MEAT - FRESH & FROZEN,6160,
323848,96044,Saturday,4401,1,PRODUCE,2402,
323849,96781,Saturday,7874208586,1,GROCERY DRY GOODS,3555,
323850,106189,Sunday,71752413100,1,PRODUCE,8105,
323851,106515,Sunday,8265750406,1,DSD GROCERY,2352,
323852,108283,Monday,3800059661,1,GROCERY DRY GOODS,3555,
323853,122339,Wednesday,8768400097,1,DSD GROCERY,4624,
323854,126037,Thursday,7874235338,1,GROCERY DRY GOODS,4253,
323855,128633,Thursday,75166677005,1,PRODUCE,7804,
323856,133191,Friday,7033060006,1,IMPULSE MERCHANDISE,202,
323857,157151,Tuesday,4056,1,PRODUCE,2008,
323858,168394,Thursday,4046,1,PRODUCE,5620,
323859,187663,Sunday,4470007068,1,PRE PACKED DELI,7535,
323860,2881,Friday,3500039014,1,HOUSEHOLD CHEMICALS/SUPP,2070,
323861,20933,Monday,3890000947,2,DSD GROCERY,4653,
323862,30045,Tuesday,4125950156,1,GROCERY DRY GOODS,2601,
323863,60676,Sunday,78742057767,1,PRODUCE,33,
323864,69812,Tuesday,9853,1,BAKERY,5040,
323865,89080,Friday,85159900040,1,PETS AND SUPPLIES,2025,
323866,92496,Friday,2550020188,1,GROCERY DRY GOODS,3304,
323867,107418,Monday,3620022284,1,GROCERY DRY GOODS,2400,
323868,126827,Thursday,7270010403,1,GROCERY DRY GOODS,3006,
323869,149173,Sunday,3800000110,1,GROCERY DRY GOODS,3555,
323870,150588,Monday,2500005575,1,DAIRY,1404,
323871,151717,Monday,3663205590,3,DAIRY,1443,
323872,156797,Tuesday,7874203950,1,HOUSEHOLD PAPER GOODS,4010,
323873,159143,Tuesday,1800000216,1,DAIRY,1303,
323874,165158,Wednesday,68395304045,-2,PRODUCE,3000,
323875,166107,Wednesday,1600048798,1,GROCERY DRY GOODS,3634,
323876,170899,Thursday,4142010025,1,"CANDY, TOBACCO, COOKIES",707,
323877,171655,Thursday,3120020309,1,DSD GROCERY,4639,
323878,180480,Saturday,4171688799,1,DAIRY,7983,
323879,181173,Saturday,85641600001,1,GROCERY DRY GOODS,3601,
323880,1081,Friday,7911830020,1,AUTOMOTIVE,4007,
323881,3298,Friday,2840006408,1,DSD GROCERY,7002,
323882,3753,Friday,88828940186,1,PRODUCE,1219,
323883,6953,Saturday,3500039131,1,HOUSEHOLD CHEMICALS/SUPP,2070,
323884,18936,Sunday,4900000764,1,DSD GROCERY,9546,
323885,26071,Tuesday,7874205234,2,DAIRY,1511,
323886,27683,Tuesday,7119000602,1,PETS AND SUPPLIES,241,
323887,33334,Wednesday,7874235191,1,DSD GROCERY,9208,
323888,42501,Thursday,3156857426,1,JEWELRY AND SUNGLASSES,4108,
323889,47225,Friday,2840014393,1,DSD GROCERY,3655,
323890,55079,Saturday,7047000570,1,DAIRY,1343,
323891,56242,Sunday,7331045200,1,HOUSEHOLD PAPER GOODS,4010,
323892,58906,Sunday,68113173927,4,PHARMACY OTC,1354,
323893,60879,Sunday,980020039,3,"CANDY, TOBACCO, COOKIES",85,
323894,65318,Monday,1450001101,1,FROZEN FOODS,1750,
323895,68396,Monday,7038200234,1,AUTOMOTIVE,4032,
323896,83746,Thursday,8380404719,1,"LIQUOR,WINE,BEER",2603,
323897,84010,Thursday,76644354114,1,PHARMACY OTC,911,
323898,91735,Friday,3620001364,1,GROCERY DRY GOODS,2401,
323899,92292,Friday,7192100656,1,FROZEN FOODS,9115,
323900,96352,Saturday,68113138783,1,PRODUCE,7025,
323901,100421,Sunday,7874209153,2,DSD GROCERY,9201,
323902,107455,Monday,3338365322,1,PRODUCE,7601,
323903,107821,Monday,84105802400,1,PERSONAL CARE,1411,
323904,112702,Monday,1111125192,1,PERSONAL CARE,3165,
323905,116381,Tuesday,1254600608,1,IMPULSE MERCHANDISE,135,
323906,117590,Tuesday,3400013858,1,"CANDY, TOBACCO, COOKIES",89,
323907,128487,Thursday,4740015657,1,PERSONAL CARE,1402,
323908,129440,Thursday,60538862097,1,FINANCIAL SERVICES,0,
323909,133962,Friday,7874211254,1,HOUSEHOLD PAPER GOODS,5010,
323910,136199,Friday,3700003072,1,PERSONAL CARE,5050,
323911,137965,Saturday,2279691375,1,BEAUTY,4010,
323912,144962,Sunday,8158385107,1,"LIQUOR,WINE,BEER",2401,
323913,153585,Monday,60308422357,2,PERSONAL CARE,5317,
323914,155175,Monday,5200013481,1,DSD GROCERY,4606,
323915,155314,Monday,7187154668,1,PRE PACKED DELI,7557,
323916,155320,Monday,2500001081,1,DSD GROCERY,4621,
323917,155674,Monday,38151918363,-1,PERSONAL CARE,5260,
323918,160059,Tuesday,1700001016,1,PERSONAL CARE,3183,
323919,178369,Saturday,32586656156,1,PHARMACY OTC,2015,
323920,179332,Saturday,7800001328,1,DSD GROCERY,2455,
323921,182142,Saturday,20236600000,1,MEAT - FRESH & FROZEN,6353,
323922,185803,Sunday,3700029511,1,HOUSEHOLD CHEMICALS/SUPP,2041,
323923,186467,Sunday,4178900251,2,GROCERY DRY GOODS,3105,
323924,187919,Sunday,4125543078,3,GROCERY DRY GOODS,2759,
323925,549,Friday,2500005349,1,DSD GROCERY,3004,
323926,4346,Friday,4800121348,1,GROCERY DRY GOODS,2452,
323927,8289,Saturday,3320009990,1,HOUSEHOLD CHEMICALS/SUPP,745,
323928,10185,Saturday,3500076222,1,PERSONAL CARE,203,
323929,11780,Saturday,7940038057,1,PERSONAL CARE,9101,
323930,14881,Sunday,4190007319,1,FROZEN FOODS,1854,
323931,17291,Sunday,7874220164,2,BAKERY,3004,
323932,18285,Sunday,68113102789,1,PRODUCE,7009,
323933,20685,Monday,7874208818,1,INFANT CONSUMABLE HARDLINES,222,
323934,21593,Monday,4300095543,3,DSD GROCERY,4628,
323935,21924,Monday,76644355413,1,PHARMACY OTC,901,
323936,24045,Monday,3000031069,1,GROCERY DRY GOODS,4351,
323937,25143,Monday,4450032980,1,PRE PACKED DELI,7554,
323938,26269,Tuesday,63665291531,1,PHARMACY OTC,603,
323939,28377,Tuesday,7874222375,1,COMM BREAD,3716,
323940,32179,Wednesday,7697339702,1,PERSONAL CARE,8101,
323941,35162,Wednesday,3040077852,1,HOUSEHOLD PAPER GOODS,3006,
323942,36469,Wednesday,75177497594,3,PHARMACY OTC,4602,
323943,36716,Wednesday,1450001129,-1,FROZEN FOODS,1750,
323944,37473,Thursday,5000057216,1,PETS AND SUPPLIES,1436,
323945,38837,Thursday,3338360002,1,PRODUCE,4005,
323946,40183,Thursday,7797508824,1,DSD GROCERY,9254,
323947,40687,Thursday,4178900142,1,GROCERY DRY GOODS,3120,
323948,42911,Thursday,38137101999,-1,PERSONAL CARE,5064,
323949,42969,Thursday,3040077387,1,HOUSEHOLD PAPER GOODS,3006,
323950,47700,Friday,3700088791,1,PERSONAL CARE,27,
323951,48841,Friday,4460031259,1,LAWN AND GARDEN,31,
323952,49447,Saturday,7226420266,1,LAWN AND GARDEN,401,
323953,50169,Saturday,20966500000,1,SERVICE DELI,7010,
323954,51841,Saturday,1326264750,1,"GIRLS WEAR, 4-6X  AND 7-14",273,
323955,52015,Saturday,7084781116,1,DSD GROCERY,3467,
323956,52032,Saturday,31031032373,1,PERSONAL CARE,210,
323957,54240,Saturday,68113109124,2,PRODUCE,7711,
323958,54871,Saturday,22591300000,1,MEAT - FRESH & FROZEN,4136,
323959,57393,Sunday,7874235191,1,DSD GROCERY,9208,
323960,60971,Sunday,68113145786,1,SERVICE DELI,4075,
323961,61146,Sunday,1600027296,1,GROCERY DRY GOODS,3600,
323962,65176,Monday,7047046114,1,DAIRY,1345,
323963,67807,Monday,7198074003,1,OFFICE SUPPLIES,3515,
323964,68144,Monday,5410000410,1,GROCERY DRY GOODS,2501,
323965,70358,Tuesday,7172572750,5,PRODUCE,220,
323966,73543,Tuesday,4011,1,PRODUCE,5501,
323967,81029,Wednesday,7940043333,1,PERSONAL CARE,5017,
323968,83366,Thursday,3500067122,1,PERSONAL CARE,801,
323969,84786,Thursday,7539100470,1,SEAFOOD,1026,
323970,85365,Thursday,7874208276,1,DSD GROCERY,4501,
323971,89764,Friday,7874222690,1,DSD GROCERY,4640,
323972,92619,Friday,7282038106,1,DAIRY,1552,
323973,93030,Saturday,7047000302,1,DAIRY,1351,
323974,94341,Saturday,3700032024,-1,PERSONAL CARE,202,
323975,97370,Saturday,1480064608,1,DSD GROCERY,4644,
323976,98498,Saturday,4600028734,1,GROCERY DRY GOODS,3202,
323977,100605,Sunday,2500005278,1,DAIRY,1407,
323978,100640,Sunday,68113102786,1,PRODUCE,7008,
323979,102722,Sunday,1410007105,1,COMM BREAD,3701,
323980,103230,Sunday,4900000764,1,DSD GROCERY,9546,
323981,104328,Sunday,2150004802,1,GROCERY DRY GOODS,2303,
323982,105804,Sunday,1340935150,1,GROCERY DRY GOODS,2351,
323983,114314,Tuesday,30045044905,1,PHARMACY OTC,2011,
323984,119639,Wednesday,7940033460,1,PERSONAL CARE,109,
323985,121530,Wednesday,2733100036,1,COMM BREAD,3706,
323986,122946,Wednesday,3890000619,1,GROCERY DRY GOODS,2757,
323987,122946,Wednesday,1117937435,1,CELEBRATION,149,
323988,125019,Thursday,5100012711,2,DSD GROCERY,4649,
323989,126392,Thursday,61300874041,1,DSD GROCERY,4644,
323990,128764,Thursday,1200540463,1,HOUSEHOLD CHEMICALS/SUPP,585,
323991,129097,Thursday,3100044995,3,FROZEN FOODS,1903,
323992,129632,Thursday,7874222803,1,GROCERY DRY GOODS,4451,
323993,129853,Thursday,71752413100,1,PRODUCE,8105,
323994,131075,Friday,30997445822,1,BEAUTY,2270,
323995,132745,Friday,7874237146,1,GROCERY DRY GOODS,3818,
323996,133125,Friday,2840019961,1,DSD GROCERY,9251,
323997,133313,Friday,7874237175,2,FROZEN FOODS,2051,
323998,135568,Friday,7874207810,1,FROZEN FOODS,4073,
323999,138911,Saturday,1450001463,2,FROZEN FOODS,3003,
324000,139812,Saturday,74412086350,1,OFFICE SUPPLIES,4453,
324001,142062,Saturday,2100003372,1,GROCERY DRY GOODS,3951,
324002,143091,Saturday,8022594613,1,BRAS & SHAPEWEAR,1638,
324003,145008,Sunday,4087,1,PRODUCE,7803,
324004,145165,Sunday,4400003133,1,DSD GROCERY,3717,
324005,146705,Sunday,2899544277,1,FABRICS AND CRAFTS,2807,
324006,148788,Sunday,68113110156,1,INFANT CONSUMABLE HARDLINES,211,
324007,149403,Sunday,7874208002,1,DSD GROCERY,3300,
324008,151918,Monday,3160066614,1,SHOES,2607,
324009,153418,Monday,5210000426,1,GROCERY DRY GOODS,4250,
324010,154975,Monday,3700088190,1,HOUSEHOLD PAPER GOODS,1009,
324011,155523,Monday,7874211433,1,DSD GROCERY,3502,
324012,156734,Tuesday,4133374064,1,IMPULSE MERCHANDISE,771,
324013,157456,Tuesday,4160800200,1,PHARMACY OTC,2730,
324014,157524,Tuesday,2100001848,1,DAIRY,7960,
324015,159038,Tuesday,3500076452,1,PERSONAL CARE,203,
324016,159369,Tuesday,7874207072,1,BAKERY,2001,
324017,159450,Tuesday,7726009623,2,"CANDY, TOBACCO, COOKIES",44,
324018,159484,Tuesday,3800057608,1,GROCERY DRY GOODS,3600,
324019,161047,Tuesday,7432305885,2,COMM BREAD,3724,
324020,161996,Wednesday,4400003327,1,DSD GROCERY,2758,
324021,161996,Wednesday,3800039122,1,GROCERY DRY GOODS,3600,
324022,162884,Wednesday,3500039367,1,HOUSEHOLD CHEMICALS/SUPP,2070,
324023,163170,Wednesday,88811318873,1,LADIESWEAR,4297,
324024,163400,Wednesday,5450010174,1,PRE PACKED DELI,7508,
324025,165507,Wednesday,4048,1,PRODUCE,901,
324026,165833,Wednesday,68113102783,1,PRODUCE,7008,
324027,166504,Wednesday,3120028130,1,DSD GROCERY,4639,
324028,173240,Friday,7282017090,1,DAIRY,7978,
324029,175350,Friday,2500005466,1,DAIRY,1407,
324030,175751,Friday,4133102785,2,GROCERY DRY GOODS,2992,
324031,175751,Friday,4133102003,2,GROCERY DRY GOODS,4290,
324032,177185,Friday,30085009601,1,INFANT CONSUMABLE HARDLINES,2116,
324033,181903,Saturday,4920004754,1,GROCERY DRY GOODS,4451,
324034,183943,Saturday,4812110208,1,COMM BREAD,3720,
324035,184875,Sunday,1254661531,1,IMPULSE MERCHANDISE,135,
324036,187064,Sunday,3250010381,1,GROCERY DRY GOODS,4201,
324037,188020,Sunday,4180030222,1,DSD GROCERY,4654,
324038,188234,Sunday,2840004767,1,DSD GROCERY,9253,
324039,11233,Saturday,60538817782,1,SHOES,4953,
324040,48650,Friday,1467144928,1,BRAS & SHAPEWEAR,2812,
324041,69420,Monday,1330243306,1,COOK AND DINE,122,
324042,103561,Sunday,3700092577,1,INFANT CONSUMABLE HARDLINES,219,
324043,18595,Sunday,1200003848,-1,DSD GROCERY,3467,
324044,22432,Monday,7569130037,1,FABRICS AND CRAFTS,6899,
324045,52222,Saturday,7314981882,1,HOME MANAGEMENT,6612,
324046,60434,Sunday,4093,1,PRODUCE,4008,
324047,69148,Monday,4011,1,PRODUCE,5501,
324048,97163,Saturday,78485754825,1,BEDDING,2720,
324049,110141,Monday,76594051724,1,FABRICS AND CRAFTS,2655,
324050,128210,Thursday,7940021372,1,PERSONAL CARE,5065,
324051,34085,Wednesday,2840033727,1,DSD GROCERY,8251,
324052,34085,Wednesday,4339633154,1,MEDIA AND GAMING,9671,
324053,76605,Wednesday,5100020644,1,DSD GROCERY,4650,
324054,81447,Thursday,7644011481,1,HOME MANAGEMENT,1200,
324055,144107,Sunday,1280051805,1,IMPULSE MERCHANDISE,915,
324056,25662,Monday,3663203646,1,DAIRY,1443,
324057,27749,Tuesday,7874211442,2,HOUSEHOLD CHEMICALS/SUPP,5510,
324058,54319,Saturday,8508188819,2,COOK AND DINE,136,
324059,77186,Wednesday,7872915187,1,PERSONAL CARE,5116,
324060,108470,Monday,1117937433,3,CELEBRATION,135,
324061,113785,Tuesday,3700086881,1,INFANT CONSUMABLE HARDLINES,225,
324062,133951,Friday,2100064455,1,GROCERY DRY GOODS,2453,
324063,142752,Saturday,4129497281,1,HOUSEHOLD CHEMICALS/SUPP,55,
324064,149376,Sunday,60538862097,1,FINANCIAL SERVICES,0,
324065,151171,Monday,8.81E+11,1,LADIESWEAR,414,
324066,2100,Friday,68113174202,1,FINANCIAL SERVICES,0,
324067,30699,Tuesday,72286894403,1,ELECTRONICS,2883,
324068,65805,Monday,2270010322,-1,BEAUTY,2255,
324069,75995,Wednesday,4900001801,1,DSD GROCERY,9546,
324070,78008,Wednesday,4369505631,-2,FROZEN FOODS,1952,
324071,85451,Thursday,68113107302,1,ELECTRONICS,4110,
324072,103429,Sunday,4391793070,-1,PERSONAL CARE,4502,
324073,123981,Wednesday,1099500870,1,BAKERY,2001,
324074,132253,Friday,7417015271,-1,BEAUTY,7645,
324075,171175,Thursday,5026791677,3,HARDWARE,4103,
324076,172316,Friday,3700081753,-1,HOUSEHOLD CHEMICALS/SUPP,710,
324077,185749,Sunday,68113152929,-1,FINANCIAL SERVICES,1000,
